Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Datetime,,,,,
2025-12-05 14:30:00+00:00,625.6400146484375,625.8800048828125,624.3629760742188,624.3699951171875,1180220
2025-12-05 14:31:00+00:00,626.3800048828125,626.6041870117188,625.5999755859375,625.6500244140625,295503
2025-12-05 14:32:00+00:00,626.280029296875,626.6099853515625,626.1199951171875,626.3699951171875,344214
2025-12-05 14:33:00+00:00,626.5700073242188,626.6699829101562,626.25,626.260009765625,225769
2025-12-05 14:34:00+00:00,626.2667236328125,626.6699829101562,626.22998046875,626.5900268554688,146241
2025-12-05 14:35:00+00:00,626.010009765625,626.5,625.97998046875,626.27001953125,198751
2025-12-05 14:36:00+00:00,626.280029296875,626.3099975585938,625.8200073242188,626.010009765625,172637
2025-12-05 14:37:00+00:00,626.4299926757812,626.7100219726562,626.2000122070312,626.2899780273438,2102500
2025-12-05 14:38:00+00:00,626.4199829101562,626.5449829101562,626.27001953125,626.4400024414062,0
2025-12-05 14:39:00+00:00,625.60302734375,626.469970703125,625.5900268554688,626.4299926757812,139849
2025-12-05 14:40:00+00:00,625.0599975585938,625.8499755859375,624.8599853515625,625.6099853515625,220810
2025-12-05 14:41:00+00:00,624.760009765625,625.3699951171875,624.239990234375,625.0499877929688,191806
2025-12-05 14:42:00+00:00,625.0599975585938,625.0900268554688,624.5499877929688,624.75,157478
2025-12-05 14:43:00+00:00,625.0,625.344970703125,624.739990234375,625.1099853515625,129740
2025-12-05 14:44:00+00:00,625.0900268554688,625.099609375,624.5800170898438,624.989990234375,96908
2025-12-05 14:45:00+00:00,625.4500122070312,625.6099243164062,625.0700073242188,625.0900268554688,221753
2025-12-05 14:46:00+00:00,625.8599853515625,625.9312744140625,625.4299926757812,625.469970703125,103010
2025-12-05 14:47:00+00:00,625.8200073242188,625.9207153320312,625.469970703125,625.8900146484375,83376
2025-12-05 14:48:00+00:00,625.8900146484375,625.9799194335938,625.4600219726562,625.8200073242188,87563
2025-12-05 14:49:00+00:00,626.1599731445312,626.1599731445312,625.8599853515625,625.9400024414062,111410
2025-12-05 14:50:00+00:00,626.1099853515625,626.239990234375,625.9099731445312,626.1799926757812,105625
2025-12-05 14:51:00+00:00,626.239990234375,626.3900146484375,625.8699951171875,626.0900268554688,154325
2025-12-05 14:52:00+00:00,626.6199951171875,626.6599731445312,626.219970703125,626.219970703125,172523
2025-12-05 14:53:00+00:00,626.989990234375,627.0999755859375,626.614990234375,626.6300048828125,172987
2025-12-05 14:54:00+00:00,627.164794921875,627.3699951171875,626.9600219726562,626.989990234375,166498
2025-12-05 14:55:00+00:00,627.1500244140625,627.27001953125,626.8900146484375,627.1799926757812,210079
2025-12-05 14:56:00+00:00,626.6799926757812,627.2650146484375,626.5601196289062,627.1699829101562,121265
